['010214.jpg'] ssim/ir:0.210446 ssim/vi:0.128590
['010215.jpg'] ssim/ir:0.108522 ssim/vi:0.140962
['010216.jpg'] ssim/ir:0.149790 ssim/vi:0.122747
['010217.jpg'] ssim/ir:0.115288 ssim/vi:0.122654
['010218.jpg'] ssim/ir:0.114450 ssim/vi:0.136111
['010219.jpg'] ssim/ir:0.115844 ssim/vi:0.135068
['010220.jpg'] ssim/ir:0.170380 ssim/vi:0.114693
['010221.jpg'] ssim/ir:0.093193 ssim/vi:0.137592
['010222.jpg'] ssim/ir:0.242881 ssim/vi:0.127164
['010223.jpg'] ssim/ir:0.155675 ssim/vi:0.126511
['010224.jpg'] ssim/ir:0.094646 ssim/vi:0.145541
['010225.jpg'] ssim/ir:0.114301 ssim/vi:0.117878
['010226.jpg'] ssim/ir:0.176114 ssim/vi:0.113092
['010227.jpg'] ssim/ir:0.245825 ssim/vi:0.140748
['010228.jpg'] ssim/ir:0.130091 ssim/vi:0.124132
['010229.jpg'] ssim/ir:0.146033 ssim/vi:0.125230
['010230.jpg'] ssim/ir:0.266405 ssim/vi:0.120776
['010231.jpg'] ssim/ir:0.079842 ssim/vi:0.152098
['010232.jpg'] ssim/ir:0.086404 ssim/vi:0.148368
['010233.jpg'] ssim/ir:0.238293 ssim/vi:0.104501
['010234.jpg'] ssim/ir:0.092559 ssim/vi:0.129872
['010235.jpg'] ssim/ir:0.081672 ssim/vi:0.131854
['010236.jpg'] ssim/ir:0.080841 ssim/vi:0.170358
['010237.jpg'] ssim/ir:0.089222 ssim/vi:0.138073
['010238.jpg'] ssim/ir:0.091784 ssim/vi:0.133799
['010239.jpg'] ssim/ir:0.120865 ssim/vi:0.138897
['010240.jpg'] ssim/ir:0.082075 ssim/vi:0.146177
['010241.jpg'] ssim/ir:0.133863 ssim/vi:0.124956
['010242.jpg'] ssim/ir:0.093961 ssim/vi:0.127991
['010243.jpg'] ssim/ir:0.088828 ssim/vi:0.148116
['010244.jpg'] ssim/ir:0.086886 ssim/vi:0.127123
['010245.jpg'] ssim/ir:0.096547 ssim/vi:0.123044
['010246.jpg'] ssim/ir:0.101241 ssim/vi:0.147036
['010247.jpg'] ssim/ir:0.171857 ssim/vi:0.157515
['010248.jpg'] ssim/ir:0.075966 ssim/vi:0.173308
['010249.jpg'] ssim/ir:0.204604 ssim/vi:0.130984
['010250.jpg'] ssim/ir:0.092751 ssim/vi:0.142027
['010251.jpg'] ssim/ir:0.117531 ssim/vi:0.159295
['010252.jpg'] ssim/ir:0.115867 ssim/vi:0.128555
['010253.jpg'] ssim/ir:0.169922 ssim/vi:0.115713
['010254.jpg'] ssim/ir:0.082879 ssim/vi:0.134072
['010256.jpg'] ssim/ir:0.146855 ssim/vi:0.128595
['010257.jpg'] ssim/ir:0.142308 ssim/vi:0.130092
['010258.jpg'] ssim/ir:0.118835 ssim/vi:0.129864
['010259.jpg'] ssim/ir:0.128981 ssim/vi:0.170165
['010260.jpg'] ssim/ir:0.169713 ssim/vi:0.108881
['010261.jpg'] ssim/ir:0.092675 ssim/vi:0.137677
['010262.jpg'] ssim/ir:0.090929 ssim/vi:0.127534
['010263.jpg'] ssim/ir:0.092547 ssim/vi:0.146724
['010264.jpg'] ssim/ir:0.124811 ssim/vi:0.169596
['010265.jpg'] ssim/ir:0.258610 ssim/vi:0.128484
['010266.jpg'] ssim/ir:0.083054 ssim/vi:0.129035
['010267.jpg'] ssim/ir:0.077460 ssim/vi:0.143759
['010268.jpg'] ssim/ir:0.092991 ssim/vi:0.140068
['010269.jpg'] ssim/ir:0.108740 ssim/vi:0.129686
['010270.jpg'] ssim/ir:0.119853 ssim/vi:0.121810
['010271.jpg'] ssim/ir:0.095524 ssim/vi:0.145623
['010272.jpg'] ssim/ir:0.096918 ssim/vi:0.161482
['010273.jpg'] ssim/ir:0.099467 ssim/vi:0.133307
['010274.jpg'] ssim/ir:0.196812 ssim/vi:0.138134
['010275.jpg'] ssim/ir:0.088260 ssim/vi:0.137589
['010276.jpg'] ssim/ir:0.081258 ssim/vi:0.150158
['010277.jpg'] ssim/ir:0.074699 ssim/vi:0.134779
['010278.jpg'] ssim/ir:0.102930 ssim/vi:0.148119
['010279.jpg'] ssim/ir:0.154328 ssim/vi:0.121992
['010280.jpg'] ssim/ir:0.109695 ssim/vi:0.130546
['010281.jpg'] ssim/ir:0.089482 ssim/vi:0.132371
['010282.jpg'] ssim/ir:0.092884 ssim/vi:0.144738
['010283.jpg'] ssim/ir:0.075833 ssim/vi:0.136355
['010284.jpg'] ssim/ir:0.099562 ssim/vi:0.121785
['010285.jpg'] ssim/ir:0.093275 ssim/vi:0.130661
['010286.jpg'] ssim/ir:0.139907 ssim/vi:0.168661
['010287.jpg'] ssim/ir:0.126103 ssim/vi:0.134205
['010288.jpg'] ssim/ir:0.198577 ssim/vi:0.124505
['010289.jpg'] ssim/ir:0.116732 ssim/vi:0.122386
['010290.jpg'] ssim/ir:0.101722 ssim/vi:0.150061
['010291.jpg'] ssim/ir:0.090830 ssim/vi:0.147563
['010292.jpg'] ssim/ir:0.174329 ssim/vi:0.139715
['010293.jpg'] ssim/ir:0.119839 ssim/vi:0.122535
['010294.jpg'] ssim/ir:0.110768 ssim/vi:0.138691
['010295.jpg'] ssim/ir:0.104263 ssim/vi:0.135867
['010296.jpg'] ssim/ir:0.174466 ssim/vi:0.119982
['010297.jpg'] ssim/ir:0.121523 ssim/vi:0.116935
['010298.jpg'] ssim/ir:0.080613 ssim/vi:0.162015
['010299.jpg'] ssim/ir:0.105930 ssim/vi:0.137764
['010300.jpg'] ssim/ir:0.082321 ssim/vi:0.153221
['010301.jpg'] ssim/ir:0.068833 ssim/vi:0.145505
['010302.jpg'] ssim/ir:0.112614 ssim/vi:0.151305
['010303.jpg'] ssim/ir:0.080538 ssim/vi:0.149574
['010304.jpg'] ssim/ir:0.079580 ssim/vi:0.136061
['010305.jpg'] ssim/ir:0.060684 ssim/vi:0.149510
['010306.jpg'] ssim/ir:0.093973 ssim/vi:0.132113
['010307.jpg'] ssim/ir:0.065151 ssim/vi:0.161660
['010308.jpg'] ssim/ir:0.124530 ssim/vi:0.131594
['010309.jpg'] ssim/ir:0.124616 ssim/vi:0.133188
['010310.jpg'] ssim/ir:0.164532 ssim/vi:0.128250
['010311.jpg'] ssim/ir:0.114302 ssim/vi:0.110525
['010312.jpg'] ssim/ir:0.069983 ssim/vi:0.149236
['010313.jpg'] ssim/ir:0.103357 ssim/vi:0.141800
['010314.jpg'] ssim/ir:0.127575 ssim/vi:0.134221
['010315.jpg'] ssim/ir:0.181394 ssim/vi:0.126217
['010316.jpg'] ssim/ir:0.090248 ssim/vi:0.127688
['010317.jpg'] ssim/ir:0.063113 ssim/vi:0.138668
['010318.jpg'] ssim/ir:0.173255 ssim/vi:0.134298
['010319.jpg'] ssim/ir:0.100337 ssim/vi:0.144558
['010320.jpg'] ssim/ir:0.067686 ssim/vi:0.172173
['010321.jpg'] ssim/ir:0.094857 ssim/vi:0.143310
['010322.jpg'] ssim/ir:0.106537 ssim/vi:0.130947
['010323.jpg'] ssim/ir:0.143531 ssim/vi:0.126419
['010324.jpg'] ssim/ir:0.082418 ssim/vi:0.141987
['010325.jpg'] ssim/ir:0.078582 ssim/vi:0.129945
['010326.jpg'] ssim/ir:0.095135 ssim/vi:0.139816
['010327.jpg'] ssim/ir:0.120828 ssim/vi:0.128687
['010328.jpg'] ssim/ir:0.115574 ssim/vi:0.118568
['010329.jpg'] ssim/ir:0.191612 ssim/vi:0.121968
['010330.jpg'] ssim/ir:0.094787 ssim/vi:0.136292
['010331.jpg'] ssim/ir:0.151131 ssim/vi:0.106913
['010332.jpg'] ssim/ir:0.129537 ssim/vi:0.130017
['010333.jpg'] ssim/ir:0.102420 ssim/vi:0.137381
['010334.jpg'] ssim/ir:0.116371 ssim/vi:0.129918
['010335.jpg'] ssim/ir:0.086798 ssim/vi:0.124110
['010336.jpg'] ssim/ir:0.083243 ssim/vi:0.152076
['010337.jpg'] ssim/ir:0.126509 ssim/vi:0.142687
['010338.jpg'] ssim/ir:0.118218 ssim/vi:0.143610
['010339.jpg'] ssim/ir:0.090999 ssim/vi:0.144136
['010340.jpg'] ssim/ir:0.097689 ssim/vi:0.138961
['010341.jpg'] ssim/ir:0.103270 ssim/vi:0.131406
['010342.jpg'] ssim/ir:0.079438 ssim/vi:0.132446
['010343.jpg'] ssim/ir:0.116504 ssim/vi:0.127305
['010344.jpg'] ssim/ir:0.080006 ssim/vi:0.151208
['010345.jpg'] ssim/ir:0.167713 ssim/vi:0.146674
['010346.jpg'] ssim/ir:0.103373 ssim/vi:0.152763
['010347.jpg'] ssim/ir:0.067495 ssim/vi:0.160063
['010348.jpg'] ssim/ir:0.113280 ssim/vi:0.114452
['010349.jpg'] ssim/ir:0.073656 ssim/vi:0.161653
['010350.jpg'] ssim/ir:0.090439 ssim/vi:0.126334
['010351.jpg'] ssim/ir:0.154794 ssim/vi:0.132495
['010352.jpg'] ssim/ir:0.160691 ssim/vi:0.105257
['010353.jpg'] ssim/ir:0.097261 ssim/vi:0.133055
['010354.jpg'] ssim/ir:0.179910 ssim/vi:0.097537
['010355.jpg'] ssim/ir:0.130291 ssim/vi:0.142367
['010356.jpg'] ssim/ir:0.185353 ssim/vi:0.147495
['010357.jpg'] ssim/ir:0.081570 ssim/vi:0.161524
['010358.jpg'] ssim/ir:0.108297 ssim/vi:0.133318
['010359.jpg'] ssim/ir:0.111954 ssim/vi:0.148253
['010360.jpg'] ssim/ir:0.148119 ssim/vi:0.158439
['010361.jpg'] ssim/ir:0.124481 ssim/vi:0.155150
['010362.jpg'] ssim/ir:0.101098 ssim/vi:0.125408
['010363.jpg'] ssim/ir:0.089942 ssim/vi:0.135435
['010364.jpg'] ssim/ir:0.111547 ssim/vi:0.159985
['010365.jpg'] ssim/ir:0.087624 ssim/vi:0.163867
['010366.jpg'] ssim/ir:0.163048 ssim/vi:0.121540
['010367.jpg'] ssim/ir:0.254434 ssim/vi:0.113503
['010368.jpg'] ssim/ir:0.125977 ssim/vi:0.131444
['010369.jpg'] ssim/ir:0.087690 ssim/vi:0.187990
['010370.jpg'] ssim/ir:0.139674 ssim/vi:0.132207
['010371.jpg'] ssim/ir:0.132284 ssim/vi:0.134877
['010372.jpg'] ssim/ir:0.114481 ssim/vi:0.128235
['010373.jpg'] ssim/ir:0.083515 ssim/vi:0.141038
