['01432.png'] ssim/ir:0.018458 ssim/vi:0.372590
['01437.png'] ssim/ir:0.014694 ssim/vi:0.357005
['01442.png'] ssim/ir:0.011561 ssim/vi:0.336515
['01443.png'] ssim/ir:0.011374 ssim/vi:0.335345
['01454.png'] ssim/ir:0.013431 ssim/vi:0.210187
['01462.png'] ssim/ir:0.013462 ssim/vi:0.208931
['01471.png'] ssim/ir:0.013248 ssim/vi:0.208816
['01482.png'] ssim/ir:0.013139 ssim/vi:0.208904
['01486.png'] ssim/ir:0.013185 ssim/vi:0.209942
['01492.png'] ssim/ir:0.013777 ssim/vi:0.216862
['01494.png'] ssim/ir:0.013816 ssim/vi:0.366332
['01505.png'] ssim/ir:0.012810 ssim/vi:0.367771
['01511.png'] ssim/ir:0.012669 ssim/vi:0.367556
['01527.png'] ssim/ir:0.012954 ssim/vi:0.366557
['01531.png'] ssim/ir:0.013902 ssim/vi:0.292121
['01547.png'] ssim/ir:0.013890 ssim/vi:0.293328
['01562.png'] ssim/ir:0.013834 ssim/vi:0.293451
['01579.png'] ssim/ir:0.013547 ssim/vi:0.291927
['01584.png'] ssim/ir:0.013764 ssim/vi:0.284628
['01587.png'] ssim/ir:0.014899 ssim/vi:0.286783
['01599.png'] ssim/ir:0.014611 ssim/vi:0.281389
['01608.png'] ssim/ir:0.015457 ssim/vi:0.290288
['01640.png'] ssim/ir:0.014225 ssim/vi:0.283216
['01659.png'] ssim/ir:0.015308 ssim/vi:0.284537
['01670.png'] ssim/ir:0.014061 ssim/vi:0.306610
['01673.png'] ssim/ir:0.013518 ssim/vi:0.300837
['01707.png'] ssim/ir:0.012603 ssim/vi:0.298262
['01710.png'] ssim/ir:0.015738 ssim/vi:0.311779
['01724.png'] ssim/ir:0.015975 ssim/vi:0.311645
['01729.png'] ssim/ir:0.016222 ssim/vi:0.313019
['01741.png'] ssim/ir:0.016433 ssim/vi:0.313479
['01760.png'] ssim/ir:0.014758 ssim/vi:0.284071
['01773.png'] ssim/ir:0.015296 ssim/vi:0.287300
['01779.png'] ssim/ir:0.015204 ssim/vi:0.287594
['01783.png'] ssim/ir:0.015279 ssim/vi:0.288108
['01789.png'] ssim/ir:0.015249 ssim/vi:0.288785
['01803.png'] ssim/ir:0.004223 ssim/vi:0.139860
['01806.png'] ssim/ir:0.004312 ssim/vi:0.144705
['01807.png'] ssim/ir:0.004282 ssim/vi:0.141866
['01811.png'] ssim/ir:0.004618 ssim/vi:0.146273
['01828.png'] ssim/ir:0.004652 ssim/vi:0.137367
['01845.png'] ssim/ir:0.013385 ssim/vi:0.283973
['01856.png'] ssim/ir:0.013531 ssim/vi:0.293394
['01861.png'] ssim/ir:0.013437 ssim/vi:0.293043
['01867.png'] ssim/ir:0.015419 ssim/vi:0.245327
['01899.png'] ssim/ir:0.015344 ssim/vi:0.247409
['01911.png'] ssim/ir:0.015353 ssim/vi:0.247705
['01912.png'] ssim/ir:0.004727 ssim/vi:0.121885
['01913.png'] ssim/ir:0.004574 ssim/vi:0.118423
['01919.png'] ssim/ir:0.004485 ssim/vi:0.117212
['01929.png'] ssim/ir:0.004500 ssim/vi:0.116749
['01937.png'] ssim/ir:0.014483 ssim/vi:0.343393
['01947.png'] ssim/ir:0.014671 ssim/vi:0.346189
['01954.png'] ssim/ir:0.014541 ssim/vi:0.345486
['01963.png'] ssim/ir:0.014408 ssim/vi:0.345202
['01977.png'] ssim/ir:0.017688 ssim/vi:0.362147
['01981.png'] ssim/ir:0.018151 ssim/vi:0.362854
['01985.png'] ssim/ir:0.016624 ssim/vi:0.318545
['01994.png'] ssim/ir:0.026573 ssim/vi:0.327643
['01996.png'] ssim/ir:0.023949 ssim/vi:0.316338
['02002.png'] ssim/ir:0.024356 ssim/vi:0.309381
['02011.png'] ssim/ir:0.024766 ssim/vi:0.309962
['02033.png'] ssim/ir:0.027418 ssim/vi:0.320632
['02045.png'] ssim/ir:0.026962 ssim/vi:0.342967
['02073.png'] ssim/ir:0.025775 ssim/vi:0.347260
['02083.png'] ssim/ir:0.025754 ssim/vi:0.344976
['02090.png'] ssim/ir:0.025721 ssim/vi:0.349316
['02102.png'] ssim/ir:0.021556 ssim/vi:0.299396
['02119.png'] ssim/ir:0.023803 ssim/vi:0.323503
['02120.png'] ssim/ir:0.020867 ssim/vi:0.342177
['02142.png'] ssim/ir:0.022751 ssim/vi:0.328795
['02163.png'] ssim/ir:0.026512 ssim/vi:0.320824
['02180.png'] ssim/ir:0.027846 ssim/vi:0.346272
['02195.png'] ssim/ir:0.025950 ssim/vi:0.334486
['02213.png'] ssim/ir:0.028140 ssim/vi:0.345783
['02233.png'] ssim/ir:0.025703 ssim/vi:0.322165
['02236.png'] ssim/ir:0.026513 ssim/vi:0.323335
['02249.png'] ssim/ir:0.026372 ssim/vi:0.328355
['02278.png'] ssim/ir:0.025118 ssim/vi:0.326983
